
1s2.2s2.2p3(4.0S).14g1--3.0G[5.0, 4.0, 3.0], 4.0, 107524.38960568859 ritzRydberg
1s2.2s2.2p3(4.0S).14g1--3.0G[5.0, 4.0, 3.0], 3.0, 107524.38960568859 ritzRydberg

1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 7.0, 107552.699433 azimuthalQuantExtrap
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 6.0, 107552.699433 azimuthalQuantExtrap
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 5.0, 107552.699433 azimuthalQuantExtrap
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 4.0, 107552.699433 azimuthalQuantExtrap
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 3.0, 107552.699433 azimuthalQuantExtrap

1s2.2s2.2p3(4.0S).6h1--3.0H[6.0, 5.0, 4.0], 6.0, 107552.699433 azimuthalQuantExtrap
1s2.2s2.2p3(4.0S).6h1--3.0H[6.0, 5.0, 4.0], 5.0, 107552.699433 azimuthalQuantExtrap
1s2.2s2.2p3(4.0S).6h1--3.0H[6.0, 5.0, 4.0], 4.0, 107552.699433 azimuthalQuantExtrap

1s2.2s2.2p3(4.0S).15g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107597.26621829809 ritzRydberg
1s2.2s2.2p3(4.0S).15g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107597.26621829809 ritzRydberg
1s2.2s2.2p3(4.0S).15g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107597.26621829809 ritzRydberg
1s2.2s2.2p3(4.0S).15g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107597.26621829809 ritzRydberg
1s2.2s2.2p3(4.0S).15g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107597.26621829809 ritzRydberg

1s2.2s2.2p3(4.0S).15g1--3.0G[5.0, 4.0, 3.0], 5.0, 107597.26621829809 ritzRydberg
1s2.2s2.2p3(4.0S).15g1--3.0G[5.0, 4.0, 3.0], 4.0, 107597.26621829809 ritzRydberg
1s2.2s2.2p3(4.0S).15g1--3.0G[5.0, 4.0, 3.0], 3.0, 107597.26621829809 ritzRydberg

1s2.2s2.2p3(4.0S).11d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 4.0, 107654.794969 ritzRydberg
1s2.2s2.2p3(4.0S).11d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 3.0, 107654.794969 ritzRydberg
1s2.2s2.2p3(4.0S).11d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 2.0, 107654.794969 ritzRydberg
1s2.2s2.2p3(4.0S).11d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 1.0, 107654.794969 ritzRydberg
1s2.2s2.2p3(4.0S).11d1--5.0D[4.0, 3.0, 2.0, 1.0, 0.0], 0.0, 107654.794969 ritzRydberg

1s2.2s2.2p3(4.0S).9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 107662.5795 ritzRydberg
1s2.2s2.2p3(4.0S).9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 107662.5795 ritzRydberg
1s2.2s2.2p3(4.0S).9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 107662.5795 ritzRydberg
1s2.2s2.2p3(4.0S).9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 107662.5795 ritzRydberg
1s2.2s2.2p3(4.0S).9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 107662.5795 ritzRydberg

1s2.2s2.2p3(4.0S).9f1--3.0F[4.0, 3.0, 2.0], 4.0, 107662.60635 ritzRydberg
1s2.2s2.2p3(4.0S).9f1--3.0F[4.0, 3.0, 2.0], 3.0, 107662.60635 ritzRydberg
1s2.2s2.2p3(4.0S).9f1--3.0F[4.0, 3.0, 2.0], 2.0, 107662.60635 ritzRydberg

1s2.2s2.2p3(4.0S).16g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107666.7521508828 ritzRydberg
1s2.2s2.2p3(4.0S).16g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107666.7521508828 ritzRydberg
1s2.2s2.2p3(4.0S).16g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107666.7521508828 ritzRydberg
1s2.2s2.2p3(4.0S).16g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107666.7521508828 ritzRydberg
1s2.2s2.2p3(4.0S).16g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107666.7521508828 ritzRydberg

1s2.2s2.2p3(4.0S).16g1--3.0G[5.0, 4.0, 3.0], 5.0, 107666.7521508828 ritzRydberg
1s2.2s2.2p3(4.0S).16g1--3.0G[5.0, 4.0, 3.0], 4.0, 107666.7521508828 ritzRydberg
1s2.2s2.2p3(4.0S).16g1--3.0G[5.0, 4.0, 3.0], 3.0, 107666.7521508828 ritzRydberg

